Quantização;Bits Reais (bpw);Grupo (#G);Janela;Tamanho (GB);Redução (%);Pico Memória (GB);Prefill pp512 (t/s);Decode tg128 (t/s);PPL (PorTEXTO);AvgLoss (%)
AMALIA-9B-0626-DPO-BF16;16.0;-;512;17.05;0.0;16.69;2135.03;45.06;16.0447;0.0
AMALIA-9B-0626-DPO-BF16;16.0;-;1024;17.05;0.0;16.82;2879.69;45.41;16.0447;0.0
AMALIA-9B-0626-DPO-BF16;16.0;-;2048;17.05;0.0;16.99;2718.5;44.93;16.0447;0.0
AMALIA-9B-0626-DPO-BF16;16.0;-;4096;17.05;0.0;17.4;2526.61;44.42;16.0447;0.0
AMALIA-9B-0626-DPO-Q8_0;8.5;32;512;9.06;46.86;9.19;3353.82;74.28;16.0481;-0.02
AMALIA-9B-0626-DPO-Q8_0;8.5;32;1024;9.06;46.86;9.28;3631.79;75.07;16.0481;-0.02
AMALIA-9B-0626-DPO-Q8_0;8.5;32;2048;9.06;46.86;9.46;3506.04;74.41;16.0481;-0.02
AMALIA-9B-0626-DPO-Q8_0;8.5;32;4096;9.06;46.86;N/A;9.87;3235.02;72.23;16.0481;-0.02
AMALIA-9B-0626-DPO-Q5_K_M;5.6;32;512;6.07;64.4;N/A;6.39;2859.02;95.85;16.0982;-0.33
AMALIA-9B-0626-DPO-Q5_K_M;5.6;32;1024;6.07;64.4;N/A;6.48;3369.38;97.87;16.0982;-0.33
AMALIA-9B-0626-DPO-Q5_K_M;5.6;32;2048;6.07;64.4;N/A;6.65;3247.1;96.63;16.0982;-0.33
AMALIA-9B-0626-DPO-Q5_K_M;5.6;32;4096;6.07;64.4;N/A;7.06;3040.23;92.44;16.0982;-0.33
AMALIA-9B-0626-DPO-Q4_K_M;4.8;32;512;5.2;69.5;N/A;5.58;3134.0;106.66;16.5753;-3.31
AMALIA-9B-0626-DPO-Q4_K_M;4.8;32;1024;5.2;69.5;N/A;5.67;3482.29;107.71;16.5753;-3.31
AMALIA-9B-0626-DPO-Q4_K_M;4.8;32;2048;5.2;69.5;N/A;5.85;3319.66;106.3;16.5753;-3.31
AMALIA-9B-0626-DPO-Q4_K_M;4.8;32;4096;5.2;69.5;N/A;6.25;3080.67;101.85;16.5753;-3.31
AMALIA-9B-0626-DPO-Q3_K_M;3.5;32;512;4.24;75.13;N/A;4.68;3101.86;87.57;17.707;-10.36
AMALIA-9B-0626-DPO-Q3_K_M;3.5;32;1024;4.24;75.13;N/A;4.78;3211.18;88.49;17.707;-10.36
AMALIA-9B-0626-DPO-Q3_K_M;3.5;32;2048;4.24;75.13;N/A;4.95;3145.46;87.24;17.707;-10.36
AMALIA-9B-0626-DPO-Q3_K_M;3.5;32;4096;4.24;75.13;N/A;5.36;2961.73;83.68;17.707;-10.36
AMALIA-9B-0626-DPO-Q2_K;2.7;256;512;3.35;80.35;N/A;3.84;2392.48;102.23;22.4021;-39.62
AMALIA-9B-0626-DPO-Q2_K;2.7;256;1024;3.35;80.35;N/A;3.93;2779.26;103.34;22.4021;-39.62
AMALIA-9B-0626-DPO-Q2_K;2.7;256;2048;3.35;80.35;N/A;4.11;2731.97;98.3;22.4021;-39.62
AMALIA-9B-0626-DPO-Q2_K;2.7;256;4096;3.35;80.35;N/A;4.51;2605.88;97.03;22.4021;-39.62
